username,content,deploy_time
fight丶伦哥,刷完了十集，发下影评,2017-01-01 17:42
fight丶伦哥,人类的本质，归根结底难于定义。看完《西部世界》第一季后，怅惘许久。这部由乔纳森·诺兰与妻子丽莎·乔伊、以及J.J.艾布拉姆斯担任主创的HBO剧集，确然是深度讲述人类可能的未来境况之一种。剧集《西部世界》将电影版故事的三个主场景简化为一个，在“西部世界”里，无处不在的机器人招待员，可以满足人类游客的所有欲望，其存在便是为了释放人类的本能、梦想，当然以上重要词语都需要加上引号。,2017-01-01 17:43
fight丶伦哥,,2017-01-01 17:45
fight丶伦哥,在当下流行文化中，观众对AI的基本三观来自于玛丽·雪莱的《弗兰肯斯坦》、笛卡尔《第一哲学沉思录》、维特根斯坦的哲学和图灵的定义、阿西莫夫的《机器人帝国》系列小说、菲利普·迪克具有多向度迷思的小说，等等的影响。显然，剧集《西部世界》是对未来科学的一次艺术报告，是通过与观众一起看待人类和人工智能的下一步会是怎样的关系。悲观如《黑客帝国》，人类已经成为仅仅为机器人提供生物电的原材料，乐观则是人类充分管控及训诫机器人，未来的宇宙始终洋溢在浪漫主义的人类理想之中，比如《银河帝国》、《星球大战》和《星际特工》等罗曼蒂克式的宇宙观。但是对于德洛丽丝来说，神是谎言，造物主不可靠。人类的意识和主动行为取决于基因和社会环境，机器人的意识受制于代码（给予的开放空间），德洛丽丝或者说另外一个被注入的身份怀亚特，她对于阿诺德、福特的杀害，其自主性值得讨论。,2017-01-01 17:52
fight丶伦哥,《西部世界》里，福特曾经对机器人说“我一直觉得答案很明显。并没有界限让我们超越零件的组成，或某个点让我们成为真正活着。我们无法界定意识，意味着意识并不存在。人类自以为我们知觉世界的方式很特别，但我们活在循环中，如接待员一样禁闭与封闭，很少质疑我们的选择，满足于听天由命。我的朋友，你完全没有缺少什么，我不希望你因此而困扰。”福特能够将阿诺德改造为伯纳德，意味着本故事中人类对于意识保存和3D打印都取得了相当高超的技术成就，与女娲造人的神话传说和人类灵魂21克的现代迷信都有质的不同，本剧是在认真的探问人类的本质是什么？是躯体之内和灵魂共同的联合体，还是芯片指挥的充气娃娃或者机械模具或者3D打印的躯壳。近年来，欧美影视剧一直在追问人类的本质，以及与机器人的区别，人类在社会的养成，个体基于DNA和教育、性格、社会环境最终形成的人格，与机器人受到指示、限制以及适度的学习之后的“性格”，到底有何本质上的差异？机器人伯纳德显然也可以制造和管理机器人，那么我们是否可以追问福特和阿诺德的身份呢？他们的死亡和再生（以机器人的身份），对于人类和机器人各自的意义又在哪里？,2017-01-01 17:56
fight丶伦哥,如果机器人也有痛苦、意识、反省，那么他们和我们有什么不同？他们应该具有我们的权力吗？《机器管家》中的机器人管家，最终获得了法律认可，成为人类社会的一员。《真实的人类》则办不到，他们需要逃亡和隐匿。《机械姬》则是对人类的勾引、诱惑和反叛、杀戮，《她》则是一对多、孤独人类精神生活的抚慰，而在吕克·贝松富有创意的神棍片《超体》中，人又可以在极端超能的情况下成为“时空的主宰”，也就是实在的上帝。,2017-01-01 18:01
fight丶伦哥,梦里不知身是客，德洛丽丝一再受到外界的指示，也与威廉在多个时间里相遇，后者试图找到乐园的钥匙所在，迷宫其实是机器人产生质的反省的象征。《西部世界》第一部的主题是觉醒，无论是人还是机器人都是如此，黑衣人/威廉在乐园里的恣意妄为，也有其超我的合理性，更不用说德洛丽丝和他们的各种身份的自我怀疑，他们拥抱了自己的“真实身份”，是对支配和控制的反叛。人类无论是否缸中之脑，机器人从本质上讲受制于头颅或躯体内内置的芯片及有关参数，他们的理性、道德、本能、集体感与意识，在第二季中将迎来彻彻底底的混乱，让我们拭目本剧对于人类本质的建构。,2017-01-01 18:56
阿甘再世,这其实是一种哲学性质的美剧,2017-01-01 19:02
fight丶伦哥,有一个疑问，是什么让让人类在体验中成为bug的存在,2017-01-02 13:10
fight丶伦哥,。,2017-01-02 14:24
